Kenya, 33.72, 32.44, 30.82, 31.2, 31.16, 32.07, 30.70, 27.80, 29.50, 19.00, 25.00, 21.25, 23.75, 30.25, 30.00, 22.25, 18.50, 24.75
Mozambique, 33.79, 32.66, 31.12, 31.05, 30.25, 29.98, 29.26, 28.01, 21.50, 26.50, 19.00, 20.50, 23.00, 11.50, 10.50, 16.25, 14.00, 23.50
Montenegro, 33.83, 32.74, 31.21, 33.65, 32.79, 34.63, 34.78, 32.97, 39.00, 28.50, 17.00, 10.00, 19.00, 11.50, 14.83, 20.13, 21.33, 20.75
Angola, 33.92, 34.96, 38.36, 40.42, 39.89, 37.84, 36.50, 37.80, 58.43, 28.50, 36.50, 29.50, 26.50, 21.50, 18.00, 26.50, 28.00, 30.17
Brazil, 34.05, 32.79, 31.20, 33.58, 32.62, 31.93, 34.03, 32.75, 35.33, 16.60, 15.88, 18.00, 25.25, 17.17, 14.50, 16.50, 16.75, 18.75
Mali, 34.12, 35.23, 36.15, 38.27, 39.83, 36.33, 36.29, 30.03, 0.00, 8.00, 8.00, 7.50, 16.50, 9.00, 8.00, 12.83, 11.00, 12.50
Kuwait, 34.30, 33.86, 31.91, 33.61, 32.59, 30.84, 30.71, 28.28, 28.00, 23.75, 15.25, 12.63, 20.17, 17.00, 21.25, 31.67, 31.33, 25.50
Guinea, 34.34, 33.49, 31.90, 33.15, 33.08, 32.56, 31.67, 28.49, 30.00, 33.50, 28.50, 21.50, 33.50, 27.50, 26.00, 24.50, 33.17, 26.00
Bulgaria, 35.06, 35.11, 35.22, 35.01, 34.46, 32.91, 31.42, 28.58, 29.00, 19.00, 15.61, 12.50, 16.25, 9.00, 10.25, 8.00, 6.50, 9.75
Nepal, 35.10, 33.40, 32.05, 33.02, 32.62, 32.71, 36.16, 34.61, 38.75, 36.38, 35.63, 43.25, 53.75, 73.50, 86.75, 84.00, 51.50, 63.00
Benin, 35.11, 31.74, 30.16, 30.32, 28.97, 29.24, 28.83, 28.33, 31.00, 19.00, 16.00, 15.00, 17.00, 5.50, 5.50, 5.50, 5.25, 6.00
Bolivia, 35.37, 35.38, 32.45, 33.88, 31.78, 31.29, 31.04, 32.80, 40.00, 28.13, 24.17, 28.20, 21.50, 4.50, 9.67, 20.00, 9.67, 14.50
Nigeria, 35.63, 36.50, 37.41, 39.69, 35.90, 34.09, 34.24, 34.11, 56.40, 51.50, 46.00, 37.75, 49.83, 32.23, 38.75, 37.75, 31.50, 15.50
Guatemala, 35.74, 35.94, 36.17, 39.33, 38.03, 37.92, 36.61, 29.39, 35.00, 20.25, 29.50, 22.64, 33.00, 21.25, 21.50, 16.50, 30.83, 27.25
Nicaragua, 35.81, 35.53, 30.41, 31.01, 28.82, 27.94, 27.70, 28.31, 24.33, 22.33, 16.75, 12.50, 14.25, 15.50, 15.25, 11.67, 6.50, null
Republic of, 36.56, 36.04, 35.42, 36.73, 35.84, 33, 29.44, 28.20, 30.38, 33.60, 34.75, 20.75, 24.50, 17.00, 17.00, 17.50, 14.00, 23.17
Indonesia, 36.82, 36.77, 39.68, 39.93, 41.72, 40.75, 38.15, 41.05, 68.00, 35.83, 28.50, 27.00, 30.50, 26.00, 26.00, 37.75, 34.25, 20.00
Zambia, 37.00, 36.38, 35.36, 36.48, 35.08, 34.35, 30.89, 27.93, 30.00, 22.00, 26.75, 15.50, 21.50, 22.50, 23.00, 29.75, 23.25, 26.75
Gabon, 37.20, 35.60, 32.37, 34.83, 32.20, 31.38, 31.32, 28.69, 36.50, 28.75, 43.50, 26.75, 31.50, 28.50, 26.00, 37.50, 31.25, 20.50
Afghanistan, 37.70, 36.55, 37.28, 39.46, 37.75, 37.44, 37.07, 37.36, 74.00, 51.67, 54.25, 59.25, 56.50, 44.25, 39.17, 28.25, 40.17, 35.50
Chad, 39.70, 36.71, 38.45, 39.66, 40.59, 40.17, 40.22, 34.87, 37.67, 33.17, 44.50, 41.25, 36.50, 35.50, 30.00, 33.25, 24.00, 28.75
Tanzania, 40.25, 36.28, 30.65, 30.65, 28.65, 28.09, 27.30, 27.34, 6.00, 13.00, 15.50, 15.00, 18.00, 19.82, 17.50, 14.50, 16.50, 21.25
Uganda, 40.95, 39.42, 35.77, 35.94, 32.58, 31.65, 33.29, 31.69, 64.00, 25.50, 21.50, 26.00, 28.00, 29.83, 19.25, 24.00, 25.75, 17.00
Zimbabwe, 40.95, 42.23, 40.53, 41.44, 40.41, 39.19, 39.19, 38.12, 55.00, 39.50, 46.50, 54.00, 62.00, 50.00, 64.25, 67.50, 45.50, 48.25
Sri Lanka, 41.94, 39.61, 41.37, 44.34, 44.96, 60.28, 59.13, 56.59, 87.50, 62.50, 75.00, 78.00, 67.50, 50.75, 33.25, 36.50, 24.83, 15.75
